step_index,linear_x_mps,actual_publish_window_s,paired_bins,median_abs_diff_m,changed_bin_ratio,post_healthy_scan_frames,wheel_feedback_lr_nonzero_proven,command_integration_odom_delta_m
1,0.03,0.1641063870047219,719,0.008000016212463379,0.3129346314325452,22,False,0.00450309921
2,0.05,0.16647558700060472,716,0.006750047206878662,0.2849162011173184,22,False,0.004998294300000001
3,0.07,0.16715529300563503,719,0.006999999284744263,0.25591098748261476,22,False,0.006891116120000002
4,0.09,0.17725159401015844,720,0.007499963045120239,0.2986111111111111,22,False,0.01797196688999999
