schema,route_intent_id,task_id,order,source_index,frame_id,stamp_sec,stamp_nanosec,x,y,z,qx,qy,qz,qw,primary_source_artifact,strict_no_motion
trashbot.fixed_route_28_pose_route_csv.v1,route_intent_20260713_0402_from_20260713_0300_28_pose_structured_path,task_o3_28_pose_fixed_route_consumer_20260713_0402,16,16,map,1783883494,997523160,0.47615115906803407,0.2500000037252903,0.0,0.0,0.0,0.0,1.0,sprints/2026.07.13_03-00_o3_live_full_structured_path_capture/artifacts/algorithm/live_full_structured_path_capture_summary.json,True
trashbot.fixed_route_28_pose_route_csv.v1,route_intent_20260713_0402_from_20260713_0300_28_pose_structured_path,task_o3_28_pose_fixed_route_consumer_20260713_0402,17,17,map,1783883494,997523160,0.5011511594405631,0.2500000037252903,0.0,0.0,0.0,0.0,1.0,sprints/2026.07.13_03-00_o3_live_full_structured_path_capture/artifacts/algorithm/live_full_structured_path_capture_summary.json,True
trashbot.fixed_route_28_pose_route_csv.v1,route_intent_20260713_0402_from_20260713_0300_28_pose_structured_path,task_o3_28_pose_fixed_route_consumer_20260713_0402,18,18,map,1783883494,997523160,0.5261511598130921,0.2500000037252903,0.0,0.0,0.0,0.0,1.0,sprints/2026.07.13_03-00_o3_live_full_structured_path_capture/artifacts/algorithm/live_full_structured_path_capture_summary.json,True
trashbot.fixed_route_28_pose_route_csv.v1,route_intent_20260713_0402_from_20260713_0300_28_pose_structured_path,task_o3_28_pose_fixed_route_consumer_20260713_0402,19,19,map,1783883494,997523160,0.5511511601856212,0.2500000037252903,0.0,0.0,0.0,0.0,1.0,sprints/2026.07.13_03-00_o3_live_full_structured_path_capture/artifacts/algorithm/live_full_structured_path_capture_summary.json,True
trashbot.fixed_route_28_pose_route_csv.v1,route_intent_20260713_0402_from_20260713_0300_28_pose_structured_path,task_o3_28_pose_fixed_route_consumer_20260713_0402,20,20,map,1783883494,997523160,0.5761511605581502,0.2500000037252903,0.0,0.0,0.0,0.0,1.0,sprints/2026.07.13_03-00_o3_live_full_structured_path_capture/artifacts/algorithm/live_full_structured_path_capture_summary.json,True
trashbot.fixed_route_28_pose_route_csv.v1,route_intent_20260713_0402_from_20260713_0300_28_pose_structured_path,task_o3_28_pose_fixed_route_consumer_20260713_0402,21,21,map,1783883494,997523160,0.6011511609306792,0.2500000037252903,0.0,0.0,0.0,0.0,1.0,sprints/2026.07.13_03-00_o3_live_full_structured_path_capture/artifacts/algorithm/live_full_structured_path_capture_summary.json,True
trashbot.fixed_route_28_pose_route_csv.v1,route_intent_20260713_0402_from_20260713_0300_28_pose_structured_path,task_o3_28_pose_fixed_route_consumer_20260713_0402,22,22,map,1783883494,997523160,0.6261511613032082,0.2500000037252903,0.0,0.0,0.0,0.0,1.0,sprints/2026.07.13_03-00_o3_live_full_structured_path_capture/artifacts/algorithm/live_full_structured_path_capture_summary.json,True
trashbot.fixed_route_28_pose_route_csv.v1,route_intent_20260713_0402_from_20260713_0300_28_pose_structured_path,task_o3_28_pose_fixed_route_consumer_20260713_0402,23,23,map,1783883494,997523160,0.6511511616757373,0.2500000037252903,0.0,0.0,0.0,0.0,1.0,sprints/2026.07.13_03-00_o3_live_full_structured_path_capture/artifacts/algorithm/live_full_structured_path_capture_summary.json,True
trashbot.fixed_route_28_pose_route_csv.v1,route_intent_20260713_0402_from_20260713_0300_28_pose_structured_path,task_o3_28_pose_fixed_route_consumer_20260713_0402,24,24,map,1783883494,997523160,0.6761511620482663,0.2500000037252903,0.0,0.0,0.0,0.0,1.0,sprints/2026.07.13_03-00_o3_live_full_structured_path_capture/artifacts/algorithm/live_full_structured_path_capture_summary.json,True
trashbot.fixed_route_28_pose_route_csv.v1,route_intent_20260713_0402_from_20260713_0300_28_pose_structured_path,task_o3_28_pose_fixed_route_consumer_20260713_0402,25,25,map,1783883494,997523160,0.7261511627933244,0.2500000037252903,0.0,0.0,0.0,0.0,1.0,sprints/2026.07.13_03-00_o3_live_full_structured_path_capture/artifacts/algorithm/live_full_structured_path_capture_summary.json,True
trashbot.fixed_route_28_pose_route_csv.v1,route_intent_20260713_0402_from_20260713_0300_28_pose_structured_path,task_o3_28_pose_fixed_route_consumer_20260713_0402,26,26,map,1783883494,997523160,0.7761511635383824,0.2500000037252903,0.0,0.0,0.0,0.0,1.0,sprints/2026.07.13_03-00_o3_live_full_structured_path_capture/artifacts/algorithm/live_full_structured_path_capture_summary.json,True
trashbot.fixed_route_28_pose_route_csv.v1,route_intent_20260713_0402_from_20260713_0300_28_pose_structured_path,task_o3_28_pose_fixed_route_consumer_20260713_0402,27,27,map,1783883494,997523160,0.8,0.2500000037252903,0.0,0.0,0.0,0.0,1.0,sprints/2026.07.13_03-00_o3_live_full_structured_path_capture/artifacts/algorithm/live_full_structured_path_capture_summary.json,True
