index,sec,nanosec,frame_id,x,y,z,qx,qy,qz,qw,frame
0,1781023588,510239683,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0,000.jpg
1,1781023648,160453291,map,0.01049591565,0.0,0.0,0.0,0.0,0.0,1.0,001.jpg
2,1781023648,510362272,map,0.02099318508,0.0,0.0,0.0,0.0,0.0,1.0,002.jpg
3,1781023648,860308085,map,0.03149155947,0.0,0.0,0.0,0.0,0.0,1.0,003.jpg
4,1781023649,210298107,map,0.04199126013,0.0,0.0,0.0,0.0,0.0,1.0,004.jpg
5,1781023649,560297421,map,0.05249123955,0.0,0.0,0.0,0.0,0.0,1.0,005.jpg
6,1781023649,910337859,map,0.06299245269,0.0,0.0,0.0,0.0,0.0,1.0,006.jpg
7,1781023650,260306881,map,0.07349152335,0.0,0.0,0.0,0.0,0.0,1.0,007.jpg
8,1781023650,610346778,map,0.08399272026,0.0,0.0,0.0,0.0,0.0,1.0,008.jpg
9,1781023650,960214592,map,0.09448875467999998,0.0,0.0,0.0,0.0,0.0,1.0,009.jpg
10,1781023651,310281405,map,0.10499075906999998,0.0,0.0,0.0,0.0,0.0,1.0,010.jpg
